SLRmmyr,SLRmm,area,marsharea,mangrovearea,Ngain,Nloss,NetN
3,251.1357959,100000,26000,74000,50,-76.2,-26
3,251.1357959,150000,39000,111000,75,-61.2,14
3,251.1357959,200000,52000,148000,100,-46.2,54
3,251.1357959,250000,65000,185000,126,-31.2,94
3,251.1357959,300000,78000,222000,151,-16.2,134
3,251.1357959,350000,91000,259000,176,-1.2,175
3,251.1357959,400000,104000,296000,201,13.8,215
4,287.7217342,100000,26000,74000,58,-76.2,-19
4,287.7217342,150000,39000,111000,86,-61.2,25
4,287.7217342,200000,52000,148000,115,-46.2,69
4,287.7217342,250000,65000,185000,144,-31.2,113
4,287.7217342,300000,78000,222000,173,-16.2,156
4,287.7217342,350000,91000,259000,201,-1.2,200
4,287.7217342,400000,104000,296000,230,13.8,244
5,329.6375813,100000,26000,74000,66,-76.2,-10
5,329.6375813,150000,39000,111000,99,-61.2,38
5,329.6375813,200000,52000,148000,132,-46.2,86
5,329.6375813,250000,65000,185000,165,-31.2,134
5,329.6375813,300000,78000,222000,198,-16.2,182
5,329.6375813,350000,91000,259000,231,-1.2,230
5,329.6375813,400000,104000,296000,264,13.8,278
6,377.6598083,100000,26000,74000,76,-76.2,-1
6,377.6598083,150000,39000,111000,113,-61.2,52
6,377.6598083,200000,52000,148000,151,-46.2,105
6,377.6598083,250000,65000,185000,189,-31.2,158
6,377.6598083,300000,78000,222000,227,-16.2,210
6,377.6598083,350000,91000,259000,264,-1.2,263
6,377.6598083,400000,104000,296000,302,13.8,316
7,432.6780043,100000,26000,74000,87,-76.2,10
7,432.6780043,150000,39000,111000,130,-61.2,69
7,432.6780043,200000,52000,148000,173,-46.2,127
7,432.6780043,250000,65000,185000,216,-31.2,185
7,432.6780043,300000,78000,222000,260,-16.2,243
7,432.6780043,350000,91000,259000,303,-1.2,302
7,432.6780043,400000,104000,296000,346,13.8,360
8,495.7113553,100000,26000,74000,99,-76.2,23
8,495.7113553,150000,39000,111000,149,-61.2,88
8,495.7113553,200000,52000,148000,198,-46.2,152
8,495.7113553,250000,65000,185000,248,-31.2,217
8,495.7113553,300000,78000,222000,297,-16.2,281
8,495.7113553,350000,91000,259000,347,-1.2,346
8,495.7113553,400000,104000,296000,397,13.8,410
9,567.9275242,100000,26000,74000,114,-76.2,37
9,567.9275242,150000,39000,111000,170,-61.2,109
9,567.9275242,200000,52000,148000,227,-46.2,181
9,567.9275242,250000,65000,185000,284,-31.2,253
9,567.9275242,300000,78000,222000,341,-16.2,325
9,567.9275242,350000,91000,259000,398,-1.2,396
9,567.9275242,400000,104000,296000,454,13.8,468