"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3"
"148","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,0.45,1.1,1.57,0.1,0.76
"149","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,1.1,1.85,2.07,0.1,0.89
"150","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,1.85,2,2.26,0.1,0.69
"151","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,0,0.15,2.2,0.14,0.89
"152","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,0.15,0.3,2.01,0.13,1
"153","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,0.3,0.45,1.73,0.13,0.81
"154","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,0.45,1.1,1.65,0.12,1.13
"155","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,1.1,1.85,2.7,0.12,0.85
"156","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,1.85,2,2.87,0.12,0.8
"157","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,0,0.15,2.85,0.16,0.84
"158","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,0.15,0.3,1.7,0.12,0.91
"159","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,0.3,0.45,1.31,0.1,1.08
"160","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,0.45,1.1,1.11,0.08,1.01
"161","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,1.1,1.85,2.08,0.1,0.96
"162","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,1.85,2,1.66,0.07,1.01
"163","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,0,0.15,4.18,0.19,0.59
"164","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,0.15,0.3,2.54,0.12,0.77
"165","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,0.3,0.45,3.59,0.15,0.7
"166","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,0.45,1.1,2.82,0.11,0.8
"167","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,1.1,1.85,3.08,0.11,0.8
"168","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,1.85,2,1.8,0.08,0.93
"169","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,0,0.15,2.59,0.14,0.66
"170","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,0.15,0.3,1.6,0.09,0.89
"171","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,0.3,0.45,1.96,0.1,0.91
"172","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,0.45,1.1,2.2,0.08,1.26
"173","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,1.1,1.85,NA,NA,NA
"174","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,1.85,2,NA,NA,NA
"175","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,0,0.15,1.39,0.05,1.24
"176","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,0.15,0.3,1.24,0.05,1.29
"177","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,0.3,0.45,1.07,0.04,1.36
"178","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,0.45,1.1,0.8,0.03,1.52
"179","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,1.1,1.85,NA,NA,NA
"180","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,1.85,2,NA,NA,NA
"181","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,0,0.15,2.32,0.15,0.8
"182","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,0.15,0.3,2.78,0.15,0.8
"183","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,0.3,0.45,4.19,0.17,0.68
"184","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,0.45,1.1,4.07,0.16,0.58
"185","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,1.1,1.85,2.74,0.11,0.86
"186","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,1.85,2,2.67,0.1,0.72
"187","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,0,0.15,2.83,0.17,0.73
"188","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,0.15,0.3,3.18,0.19,0.68
"189","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,0.3,0.45,3.25,0.16,0.71
"190","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,0.45,1.1,2.97,0.14,0.68
"191","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,1.1,1.85,2.05,0.1,0.75
"192","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,1.85,2,2.23,0.11,0.73
"193","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,0,0.15,2.36,0.18,0.92
"194","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,0.15,0.3,1.88,0.15,0.9
"195","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,0.3,0.45,1.99,0.15,0.85
"196","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,0.45,1.1,1.54,0.12,0.87
"197","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,1.1,1.85,1.67,0.11,0.9
"198","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,1.85,2,1.46,0.09,0.9
"199","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,0,0.15,2.76,0.16,0.81
"200","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,0.15,0.3,2.77,0.12,1.03
"201","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,0.3,0.45,NA,0.13,0.86
"202","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,0.45,1.1,3,0.11,0.94
"203","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,1.1,1.85,2.39,0.08,1
"204","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,1.85,2,1.88,0.07,0.94
"205","Trettin et al. 2020","Ruffiji",35,"Deltaic mangrove",2015,-7.805975,39.350342,0,0.15,3.05,0.18,0.5
"206","Trettin et al. 2020","Ruffiji",35,"Deltaic mangrove",2015,-7.805975,39.350342,0.15,0.3,3.55,0.21,0.67
"207","Trettin et al. 2020","Ruffiji",35,"Deltaic mangrove",2015,-7.805975,39.350342,0.3,0.45,4.01,0.2,0.63
"208","Trettin et al. 2020","Ruffiji",35,"Deltaic mangrove",2015,-7.805975,39.350342,0.45,1.1,3.06,0.16,0.73
"209","Trettin et al. 2020","Ruffiji",35,"Deltaic mangrove",2015,-7.805975,39.350342,1.1,1.85,1.98,0.13,0.85
"210","Trettin et al. 2020","Ruffiji",35,"Deltaic mangrove",2015,-7.805975,39.350342,1.85,2,1.8,0.11,0.67
"211","Trettin et al. 2020","Ruffiji",36,"Deltaic mangrove",2015,-7.811343,39.308245,0,0.15,3.02,0.2,0.65
"212","Trettin et al. 2020","Ruffiji",36,"Deltaic mangrove",2015,-7.811343,39.308245,0.15,0.3,2.52,0.17,0.77
"213","Trettin et al. 2020","Ruffiji",36,"Deltaic mangrove",2015,-7.811343,39.308245,0.3,0.45,2.33,0.15,0.71
"214","Trettin et al. 2020","Ruffiji",36,"Deltaic mangrove",2015,-7.811343,39.308245,0.45,1.1,4.3,0.14,0.74
"215","Trettin et al. 2020","Ruffiji",36,"Deltaic mangrove",2015,-7.811343,39.308245,1.1,1.85,2.34,0.09,0.92
"216","Trettin et al. 2020","Ruffiji",36,"Deltaic mangrove",2015,-7.811343,39.308245,1.85,2,1.46,0.07,0.96
"217","Trettin et al. 2020","Ruffiji",37,"Deltaic mangrove",2015,-7.818324,39.296719,0,0.15,2.06,0.16,0.73
"218","Trettin et al. 2020","Ruffiji",37,"Deltaic mangrove",2015,-7.818324,39.296719,0.15,0.3,1.74,0.14,0.73
"219","Trettin et al. 2020","Ruffiji",37,"Deltaic mangrove",2015,-7.818324,39.296719,0.3,0.45,1.87,0.14,0.73
"220","Trettin et al. 2020","Ruffiji",37,"Deltaic mangrove",2015,-7.818324,39.296719,0.45,1.1,1.57,0.13,0.68
"221","Trettin et al. 2020","Ruffiji",37,"Deltaic mangrove",2015,-7.818324,39.296719,1.1,1.85,1.65,0.12,0.83
"222","Trettin et al. 2020","Ruffiji",37,"Deltaic mangrove",2015,-7.818324,39.296719,1.85,2,2.42,0.12,0.82
"223","Trettin et al. 2020","Ruffiji",38,"Deltaic mangrove",2015,-7.822442,39.337592,0,0.15,2.85,0.17,0.66
"224","Trettin et al. 2020","Ruffiji",38,"Deltaic mangrove",2015,-7.822442,39.337592,0.15,0.3,3.43,0.18,0.69
"225","Trettin et al. 2020","Ruffiji",38,"Deltaic mangrove",2015,-7.822442,39.337592,0.3,0.45,2.93,0.15,0.79
"226","Trettin et al. 2020","Ruffiji",38,"Deltaic mangrove",2015,-7.822442,39.337592,0.45,1.1,3.57,0.11,0.77
"227","Trettin et al. 2020","Ruffiji",38,"Deltaic mangrove",2015,-7.822442,39.337592,1.1,1.85,2.02,0.09,0.97
"228","Trettin et al. 2020","Ruffiji",38,"Deltaic mangrove",2015,-7.822442,39.337592,1.85,2,1.37,0.08,0.94
"229","Trettin et al. 2020","Ruffiji",39,"Deltaic mangrove",2015,-7.826875,39.297231,0,0.15,2.23,0.18,0.7
"230","Trettin et al. 2020","Ruffiji",39,"Deltaic mangrove",2015,-7.826875,39.297231,0.15,0.3,1.98,0.15,0.69
"231","Trettin et al. 2020","Ruffiji",39,"Deltaic mangrove",2015,-7.826875,39.297231,0.3,0.45,1.76,0.13,0.75
"232","Trettin et al. 2020","Ruffiji",39,"Deltaic mangrove",2015,-7.826875,39.297231,0.45,1.1,3.3,0.15,0.76
"233","Trettin et al. 2020","Ruffiji",39,"Deltaic mangrove",2015,-7.826875,39.297231,1.1,1.85,2.28,0.1,0.98
"234","Trettin et al. 2020","Ruffiji",39,"Deltaic mangrove",2015,-7.826875,39.297231,1.85,2,1.42,0.08,0.99
"235","Trettin et al. 2020","Ruffiji",40,"Deltaic mangrove",2015,-7.846511,39.338839,0,0.15,3.33,0.2,0.66
"236","Trettin et al. 2020","Ruffiji",40,"Deltaic mangrove",2015,-7.846511,39.338839,0.15,0.3,2.91,0.19,0.74
"237","Trettin et al. 2020","Ruffiji",40,"Deltaic mangrove",2015,-7.846511,39.338839,0.3,0.45,3.17,0.18,0.65
"238","Trettin et al. 2020","Ruffiji",40,"Deltaic mangrove",2015,-7.846511,39.338839,0.45,1.1,2.91,0.14,0.66
"239","Trettin et al. 2020","Ruffiji",40,"Deltaic mangrove",2015,-7.846511,39.338839,1.1,1.85,2.4,0.11,0.8
"240","Trettin et al. 2020","Ruffiji",40,"Deltaic mangrove",2015,-7.846511,39.338839,1.85,2,2.14,0.08,0.95
"241","Trettin et al. 2020","Ruffiji",41,"Deltaic mangrove",2015,-7.857204,39.237177,0,0.15,1.81,0.12,0.95
"242","Trettin et al. 2020","Ruffiji",41,"Deltaic mangrove",2015,-7.857204,39.237177,0.15,0.3,1.38,0.09,0.9
"243","Trettin et al. 2020","Ruffiji",41,"Deltaic mangrove",2015,-7.857204,39.237177,0.3,0.45,1.69,0.1,0.77
"244","Trettin et al. 2020","Ruffiji",41,"Deltaic mangrove",2015,-7.857204,39.237177,0.45,1.1,1.82,0.1,0.88
"245","Trettin et al. 2020","Ruffiji",41,"Deltaic mangrove",2015,-7.857204,39.237177,1.1,1.85,2.01,0.12,0.89
"246","Trettin et al. 2020","Ruffiji",41,"Deltaic mangrove",2015,-7.857204,39.237177,1.85,2,1.76,0.1,0.87
"247","Trettin et al. 2020","Ruffiji",42,"Deltaic mangrove",2015,-7.795329,39.295608,0,0.15,1.8,0.14,0.63
"248","Trettin et al. 2020","Ruffiji",42,"Deltaic mangrove",2015,-7.795329,39.295608,0.15,0.3,1.86,0.12,0.69
"249","Trettin et al. 2020","Ruffiji",42,"Deltaic mangrove",2015,-7.795329,39.295608,0.3,0.45,1.92,0.11,0.71
"250","Trettin et al. 2020","Ruffiji",42,"Deltaic mangrove",2015,-7.795329,39.295608,0.45,1.1,1.56,0.09,0.72
"251","Trettin et al. 2020","Ruffiji",42,"Deltaic mangrove",2015,-7.795329,39.295608,1.1,1.85,1.74,0.11,0.83
"252","Trettin et al. 2020","Ruffiji",42,"Deltaic mangrove",2015,-7.795329,39.295608,1.85,2,1.73,0.1,0.79
"253","Trettin et al. 2020","Ruffiji",43,"Deltaic mangrove",2015,-7.819879,39.302273,0,0.15,2.45,0.16,0.5
"254","Trettin et al. 2020","Ruffiji",43,"Deltaic mangrove",2015,-7.819879,39.302273,0.15,0.3,2.18,0.16,0.55
"255","Trettin et al. 2020","Ruffiji",43,"Deltaic mangrove",2015,-7.819879,39.302273,0.3,0.45,2.19,0.12,0.6
"256","Trettin et al. 2020","Ruffiji",43,"Deltaic mangrove",2015,-7.819879,39.302273,0.45,1.1,2.24,0.12,0.67
"257","Trettin et al. 2020","Ruffiji",43,"Deltaic mangrove",2015,-7.819879,39.302273,1.1,1.85,2.56,0.13,0.66
"258","Trettin et al. 2020","Ruffiji",43,"Deltaic mangrove",2015,-7.819879,39.302273,1.85,2,2.97,0.14,0.55
"259","Trettin et al. 2020","Ruffiji",44,"Deltaic mangrove",2015,-7.82622,39.302886,0,0.15,1.81,0.13,0.86
"260","Trettin et al. 2020","Ruffiji",44,"Deltaic mangrove",2015,-7.82622,39.302886,0.15,0.3,1.49,0.11,0.97
"261","Trettin et al. 2020","Ruffiji",44,"Deltaic mangrove",2015,-7.82622,39.302886,0.3,0.45,1.53,0.11,0.91
"262","Trettin et al. 2020","Ruffiji",44,"Deltaic mangrove",2015,-7.82622,39.302886,0.45,1.1,1.47,0.1,0.95
"263","Trettin et al. 2020","Ruffiji",44,"Deltaic mangrove",2015,-7.82622,39.302886,1.1,1.85,1.44,0.1,0.94
"264","Trettin et al. 2020","Ruffiji",44,"Deltaic mangrove",2015,-7.82622,39.302886,1.85,2,1.7,0.1,0.82
"265","Trettin et al. 2020","Ruffiji",45,"Deltaic mangrove",2015,-7.825887,39.248947,0,0.15,2.68,0.17,0.63
"266","Trettin et al. 2020","Ruffiji",45,"Deltaic mangrove",2015,-7.825887,39.248947,0.15,0.3,2.24,0.13,0.65
"267","Trettin et al. 2020","Ruffiji",45,"Deltaic mangrove",2015,-7.825887,39.248947,0.3,0.45,2.64,0.13,0.7
"268","Trettin et al. 2020","Ruffiji",45,"Deltaic mangrove",2015,-7.825887,39.248947,0.45,1.1,3.59,0.14,0.73
"269","Trettin et al. 2020","Ruffiji",45,"Deltaic mangrove",2015,-7.825887,39.248947,1.1,1.85,1.65,0.07,1.14
"270","Trettin et al. 2020","Ruffiji",45,"Deltaic mangrove",2015,-7.825887,39.248947,1.85,2,1.44,0.05,1.06
"271","Trettin et al. 2020","Ruffiji",46,"Deltaic mangrove",2015,-7.851313,39.238495,0,0.15,3.22,0.2,0.76
"272","Trettin et al. 2020","Ruffiji",46,"Deltaic mangrove",2015,-7.851313,39.238495,0.15,0.3,1.78,0.11,0.77
"273","Trettin et al. 2020","Ruffiji",46,"Deltaic mangrove",2015,-7.851313,39.238495,0.3,0.45,3.01,0.15,0.74
"274","Trettin et al. 2020","Ruffiji",46,"Deltaic mangrove",2015,-7.851313,39.238495,0.45,1.1,3.08,0.08,1.04
"275","Trettin et al. 2020","Ruffiji",46,"Deltaic mangrove",2015,-7.851313,39.238495,1.1,1.85,1.16,0.04,1.73
"276","Trettin et al. 2020","Ruffiji",46,"Deltaic mangrove",2015,-7.851313,39.238495,1.85,2,0.87,0.04,1.8
"277","Trettin et al. 2020","Ruffiji",47,"Deltaic mangrove",2015,-7.851581,39.298895,0,0.15,1.69,0.13,0.89
"278","Trettin et al. 2020","Ruffiji",47,"Deltaic mangrove",2015,-7.851581,39.298895,0.15,0.3,1.45,0.09,1
"279","Trettin et al. 2020","Ruffiji",47,"Deltaic mangrove",2015,-7.851581,39.298895,0.3,0.45,1.94,0.11,0.87
"280","Trettin et al. 2020","Ruffiji",47,"Deltaic mangrove",2015,-7.851581,39.298895,0.45,1.1,2.13,0.13,0.79
"281","Trettin et al. 2020","Ruffiji",47,"Deltaic mangrove",2015,-7.851581,39.298895,1.1,1.85,1.85,0.1,0.98
"282","Trettin et al. 2020","Ruffiji",47,"Deltaic mangrove",2015,-7.851581,39.298895,1.85,2,1.79,0.09,0.94
"283","Trettin et al. 2020","Ruffiji",48,"Deltaic mangrove",2015,-7.798652,39.282973,0,0.15,1.86,0.14,0.72
"284","Trettin et al. 2020","Ruffiji",48,"Deltaic mangrove",2015,-7.798652,39.282973,0.15,0.3,1.85,0.13,0.76
"285","Trettin et al. 2020","Ruffiji",48,"Deltaic mangrove",2015,-7.798652,39.282973,0.3,0.45,1.94,0.13,0.66
"286","Trettin et al. 2020","Ruffiji",48,"Deltaic mangrove",2015,-7.798652,39.282973,0.45,1.1,1.73,0.11,0.69
"287","Trettin et al. 2020","Ruffiji",48,"Deltaic mangrove",2015,-7.798652,39.282973,1.1,1.85,1.7,0.1,0.87
"288","Trettin et al. 2020","Ruffiji",48,"Deltaic mangrove",2015,-7.798652,39.282973,1.85,2,1.44,0.08,0.88
"289","Trettin et al. 2020","Ruffiji",49,"Deltaic mangrove",2015,-7.839953,39.287271,0,0.15,2.42,0.15,0.98
"290","Trettin et al. 2020","Ruffiji",49,"Deltaic mangrove",2015,-7.839953,39.287271,0.15,0.3,1.93,0.12,0.98
"291","Trettin et al. 2020","Ruffiji",49,"Deltaic mangrove",2015,-7.839953,39.287271,0.3,0.45,2.65,0.13,0.9
"292","Trettin et al. 2020","Ruffiji",49,"Deltaic mangrove",2015,-7.839953,39.287271,0.45,1.1,4.3,0.11,1.07
"293","Trettin et al. 2020","Ruffiji",49,"Deltaic mangrove",2015,-7.839953,39.287271,1.1,1.85,1.81,0.08,1.24
"294","Trettin et al. 2020","Ruffiji",49,"Deltaic mangrove",2015,-7.839953,39.287271,1.85,2,0.96,0.05,1.44
